"Figure 1: Employment rate for all people increased 0.3 percentage points on the year, to just below the record- high employment rate",""
"Nov-Jan 1994","69.0","76.0","62.1"
"Dec-Feb 1995","69.1","76.0","62.3"
"Jan-Mar 1995","69.2","76.1","62.5"
"Feb-Apr 1995","69.3","76.1","62.5"
"Mar-May 1995","69.4","76.3","62.5"
"Apr-Jun 1995","69.4","76.3","62.7"
"May-Jul 1995","69.5","76.3","62.8"
"Jun-Aug 1995","69.6","76.4","62.9"
"Jul-Sep 1995","69.6","76.4","62.9"
"Aug-Oct 1995","69.7","76.4","63.0"
"Sep-Nov 1995","69.7","76.5","63.1"
"Oct-Dec 1995","69.9","76.7","63.3"
"Nov-Jan 1996","70.0","76.6","63.5"
"Dec-Feb 1996","69.9","76.5","63.4"
"Jan-Mar 1996","69.9","76.5","63.4"
"Feb-Apr 1996","69.9","76.5","63.4"
"Mar-May 1996","69.9","76.6","63.4"
"Apr-Jun 1996","69.9","76.5","63.4"
"May-Jul 1996","69.9","76.6","63.3"
"Jun-Aug 1996","70.0","76.7","63.4"
"Jul-Sep 1996","70.0","76.7","63.5"
"Aug-Oct 1996","70.1","76.7","63.7"
"Sep-Nov 1996","70.3","77.0","63.7"
"Oct-Dec 1996","70.3","77.0","63.8"
"Nov-Jan 1997","70.5","77.2","63.8"
"Dec-Feb 1997","70.6","77.4","64.0"
"Jan-Mar 1997","70.8","77.6","64.0"
"Feb-Apr 1997","70.9","77.8","64.1"
"Mar-May 1997","70.9","77.7","64.2"
"Apr-Jun 1997","71.0","77.8","64.3"
"May-Jul 1997","70.9","77.7","64.3"
"Jun-Aug 1997","70.9","77.8","64.2"
"Jul-Sep 1997","71.1","77.9","64.3"
"Aug-Oct 1997","71.1","78.1","64.3"
"Sep-Nov 1997","71.2","78.1","64.3"
"Oct-Dec 1997","71.2","78.2","64.3"
"Nov-Jan 1998","71.2","78.3","64.2"
"Dec-Feb 1998","71.2","78.4","64.3"
"Jan-Mar 1998","71.3","78.3","64.4"
"Feb-Apr 1998","71.3","78.2","64.5"
"Mar-May 1998","71.3","78.3","64.4"
"Apr-Jun 1998","71.3","78.3","64.4"
"May-Jul 1998","71.4","78.4","64.6"
"Jun-Aug 1998","71.6","78.5","64.7"
"Jul-Sep 1998","71.6","78.5","64.8"
"Aug-Oct 1998","71.6","78.4","65.0"
"Sep-Nov 1998","71.8","78.6","65.1"
"Oct-Dec 1998","71.8","78.6","65.1"
"Nov-Jan 1999","71.9","78.5","65.3"
"Dec-Feb 1999","71.9","78.6","65.2"
"Jan-Mar 1999","71.9","78.6","65.2"
"Feb-Apr 1999","71.8","78.6","65.2"
"Mar-May 1999","71.8","78.6","65.1"
"Apr-Jun 1999","71.9","78.7","65.2"
"May-Jul 1999","71.9","78.8","65.2"
"Jun-Aug 1999","72.0","78.9","65.3"
"Jul-Sep 1999","72.1","78.9","65.4"
"Aug-Oct 1999","72.1","79.0","65.3"
"Sep-Nov 1999","72.2","79.1","65.5"
"Oct-Dec 1999","72.3","79.1","65.6"
"Nov-Jan 2000","72.2","79.1","65.5"
"Dec-Feb 2000","72.2","78.9","65.5"
"Jan-Mar 2000","72.3","79.1","65.6"
"Feb-Apr 2000","72.3","79.2","65.6"
"Mar-May 2000","72.4","79.3","65.7"
"Apr-Jun 2000","72.5","79.2","65.9"
"May-Jul 2000","72.6","79.3","66.0"
"Jun-Aug 2000","72.7","79.3","66.2"
"Jul-Sep 2000","72.6","79.3","66.1"
"Aug-Oct 2000","72.5","79.2","66.0"
"Sep-Nov 2000","72.4","79.1","65.9"
"Oct-Dec 2000","72.5","79.2","65.9"
"Nov-Jan 2001","72.7","79.4","66.1"
"Dec-Feb 2001","72.6","79.3","66.1"
"Jan-Mar 2001","72.6","79.5","65.9"
"Feb-Apr 2001","72.7","79.4","66.1"
"Mar-May 2001","72.7","79.5","66.1"
"Apr-Jun 2001","72.7","79.2","66.3"
"May-Jul 2001","72.6","79.2","66.1"
"Jun-Aug 2001","72.6","79.3","66.0"
"Jul-Sep 2001","72.5","79.2","65.9"
"Aug-Oct 2001","72.5","79.2","66.0"
"Sep-Nov 2001","72.6","79.2","66.2"
"Oct-Dec 2001","72.6","79.1","66.2"
"Nov-Jan 2002","72.5","79.0","66.1"
"Dec-Feb 2002","72.5","79.0","66.1"
"Jan-Mar 2002","72.5","78.9","66.1"
"Feb-Apr 2002","72.6","78.9","66.3"
"Mar-May 2002","72.6","79.0","66.4"
"Apr-Jun 2002","72.7","79.0","66.5"
"May-Jul 2002","72.6","78.9","66.3"
"Jun-Aug 2002","72.7","79.0","66.5"
"Jul-Sep 2002","72.6","78.8","66.4"
"Aug-Oct 2002","72.7","79.2","66.4"
"Sep-Nov 2002","72.8","79.2","66.4"
"Oct-Dec 2002","72.9","79.5","66.4"
"Nov-Jan 2003","72.8","79.4","66.3"
"Dec-Feb 2003","72.6","79.1","66.3"
"Jan-Mar 2003","72.7","79.1","66.4"
"Feb-Apr 2003","72.7","79.2","66.4"
"Mar-May 2003","72.8","79.3","66.4"
"Apr-Jun 2003","72.9","79.5","66.4"
"May-Jul 2003","72.8","79.4","66.4"
"Jun-Aug 2003","72.8","79.3","66.3"
"Jul-Sep 2003","72.8","79.3","66.4"
"Aug-Oct 2003","72.8","79.2","66.5"
"Sep-Nov 2003","72.8","79.1","66.6"
"Oct-Dec 2003","72.8","79.0","66.6"
"Nov-Jan 2004","73.0","79.3","66.8"
"Dec-Feb 2004","73.0","79.4","66.8"
"Jan-Mar 2004","73.0","79.4","66.8"
"Feb-Apr 2004","73.0","79.3","66.7"
"Mar-May 2004","72.9","79.4","66.6"
"Apr-Jun 2004","72.9","79.2","66.6"
"May-Jul 2004","72.8","79.2","66.5"
"Jun-Aug 2004","72.8","79.2","66.5"
"Jul-Sep 2004","72.9","79.3","66.6"
"Aug-Oct 2004","72.9","79.2","66.6"
"Sep-Nov 2004","73.0","79.4","66.8"
"Oct-Dec 2004","73.0","79.4","66.8"
"Nov-Jan 2005","73.1","79.4","66.9"
"Dec-Feb 2005","73.2","79.4","67.1"
"Jan-Mar 2005","73.1","79.4","66.9"
"Feb-Apr 2005","72.9","79.2","66.8"
"Mar-May 2005","72.9","79.1","66.8"
"Apr-Jun 2005","72.9","79.1","66.8"
"May-Jul 2005","73.0","79.1","66.9"
"Jun-Aug 2005","73.0","79.1","67.1"
"Jul-Sep 2005","73.0","79.2","67.1"
"Aug-Oct 2005","72.9","79.0","66.9"
"Sep-Nov 2005","72.8","78.9","66.7"
"Oct-Dec 2005","72.7","78.9","66.6"
"Nov-Jan 2006","72.8","79.0","66.7"
"Dec-Feb 2006","72.8","78.9","66.8"
"Jan-Mar 2006","72.9","78.8","67.1"
"Feb-Apr 2006","72.9","79.0","67.0"
"Mar-May 2006","72.8","78.8","66.9"
"Apr-Jun 2006","72.8","78.8","67.0"
"May-Jul 2006","72.9","79.0","66.9"
"Jun-Aug 2006","73.0","79.1","67.1"
"Jul-Sep 2006","72.8","79.1","66.7"
"Aug-Oct 2006","72.8","79.0","66.7"
"Sep-Nov 2006","72.7","78.9","66.7"
"Oct-Dec 2006","72.7","78.9","66.7"
"Nov-Jan 2007","72.6","78.9","66.5"
"Dec-Feb 2007","72.5","78.8","66.4"
"Jan-Mar 2007","72.5","78.7","66.4"
"Feb-Apr 2007","72.5","78.8","66.4"
"Mar-May 2007","72.7","79.0","66.5"
"Apr-Jun 2007","72.7","78.9","66.5"
"May-Jul 2007","72.6","78.8","66.5"
"Jun-Aug 2007","72.6","78.9","66.6"
"Jul-Sep 2007","72.7","78.9","66.6"
"Aug-Oct 2007","72.8","79.0","66.7"
"Sep-Nov 2007","72.8","79.1","66.7"
"Oct-Dec 2007","72.9","79.1","66.8"
"Nov-Jan 2008","72.9","79.1","66.9"
"Dec-Feb 2008","73.0","79.1","67.0"
"Jan-Mar 2008","73.0","79.1","67.0"
"Feb-Apr 2008","73.0","79.1","67.0"
"Mar-May 2008","73.0","79.0","67.1"
"Apr-Jun 2008","72.9","78.9","67.0"
"May-Jul 2008","72.8","78.7","66.9"
"Jun-Aug 2008","72.6","78.4","66.8"
"Jul-Sep 2008","72.4","78.3","66.7"
"Aug-Oct 2008","72.3","78.1","66.6"
"Sep-Nov 2008","72.3","78.1","66.6"
"Oct-Dec 2008","72.2","78.0","66.5"
"Nov-Jan 2009","72.2","77.9","66.6"
"Dec-Feb 2009","71.9","77.6","66.3"
"Jan-Mar 2009","71.7","77.3","66.2"
"Feb-Apr 2009","71.4","76.9","66.0"
"Mar-May 2009","71.0","76.4","65.8"
"Apr-Jun 2009","70.8","76.0","65.7"
"May-Jul 2009","70.6","75.8","65.6"
"Jun-Aug 2009","70.7","75.7","65.7"
"Jul-Sep 2009","70.6","75.5","65.8"
"Aug-Oct 2009","70.6","75.5","65.8"
"Sep-Nov 2009","70.6","75.4","65.9"
"Oct-Dec 2009","70.6","75.3","65.9"
"Nov-Jan 2010","70.4","75.1","65.8"
"Dec-Feb 2010","70.3","75.0","65.7"
"Jan-Mar 2010","70.2","74.9","65.6"
"Feb-Apr 2010","70.2","75.0","65.5"
"Mar-May 2010","70.4","75.3","65.5"
"Apr-Jun 2010","70.4","75.4","65.5"
"May-Jul 2010","70.6","75.7","65.6"
"Jun-Aug 2010","70.6","75.8","65.6"
"Jul-Sep 2010","70.7","75.9","65.6"
"Aug-Oct 2010","70.5","75.7","65.3"
"Sep-Nov 2010","70.3","75.5","65.2"
"Oct-Dec 2010","70.4","75.7","65.2"
"Nov-Jan 2011","70.5","75.7","65.3"
"Dec-Feb 2011","70.6","75.8","65.5"
"Jan-Mar 2011","70.5","75.7","65.5"
"Feb-Apr 2011","70.5","75.8","65.3"
"Mar-May 2011","70.5","75.7","65.4"
"Apr-Jun 2011","70.5","75.6","65.4"
"May-Jul 2011","70.2","75.2","65.3"
"Jun-Aug 2011","70.2","75.2","65.3"
"Jul-Sep 2011","70.1","74.9","65.3"
"Aug-Oct 2011","70.1","75.0","65.4"
"Sep-Nov 2011","70.1","75.0","65.4"
"Oct-Dec 2011","70.2","75.2","65.4"
"Nov-Jan 2012","70.2","75.2","65.3"
"Dec-Feb 2012","70.3","75.5","65.2"
"Jan-Mar 2012","70.5","75.6","65.4"
"Feb-Apr 2012","70.5","75.6","65.5"
"Mar-May 2012","70.7","75.8","65.6"
"Apr-Jun 2012","70.9","76.1","65.8"
"May-Jul 2012","71.1","76.2","66.0"
"Jun-Aug 2012","71.2","76.4","66.1"
"Jul-Sep 2012","71.1","76.3","66.0"
"Aug-Oct 2012","71.1","76.3","66.0"
"Sep-Nov 2012","71.3","76.4","66.3"
"Oct-Dec 2012","71.4","76.4","66.5"
"Nov-Jan 2013","71.4","76.3","66.5"
"Dec-Feb 2013","71.2","76.0","66.4"
"Jan-Mar 2013","71.2","76.0","66.5"
"Feb-Apr 2013","71.2","76.0","66.6"
"Mar-May 2013","71.2","76.0","66.5"
"Apr-Jun 2013","71.3","76.1","66.6"
"May-Jul 2013","71.5","76.3","66.7"
"Jun-Aug 2013","71.5","76.4","66.7"
"Jul-Sep 2013","71.7","76.7","66.7"
"Aug-Oct 2013","71.9","76.8","67.0"
"Sep-Nov 2013","72.0","77.1","67.1"
"Oct-Dec 2013","72.0","77.0","67.1"
"Nov-Jan 2014","72.1","77.1","67.2"
"Dec-Feb 2014","72.4","77.3","67.5"
"Jan-Mar 2014","72.5","77.4","67.6"
"Feb-Apr 2014","72.7","77.6","67.8"
"Mar-May 2014","72.9","77.9","68.0"
"Apr-Jun 2014","72.8","77.8","67.9"
"May-Jul 2014","72.8","77.7","67.9"
"Jun-Aug 2014","73.0","78.0","68.1"
"Jul-Sep 2014","73.0","78.1","68.1"
"Aug-Oct 2014","73.0","77.9","68.2"
"Sep-Nov 2014","73.0","77.8","68.2"
"Oct-Dec 2014","73.2","78.0","68.5"
"Nov-Jan 2015","73.3","78.1","68.6"
"Dec-Feb 2015","73.4","78.3","68.7"
"Jan-Mar 2015","73.4","78.4","68.6"
"Feb-Apr 2015","73.4","78.2","68.7"
"Mar-May 2015","73.3","78.1","68.6"
"Apr-Jun 2015","73.4","78.2","68.7"
"May-Jul 2015","73.5","78.3","68.7"
"Jun-Aug 2015","73.6","78.5","68.7"
"Jul-Sep 2015","73.8","78.7","69.0"
"Aug-Oct 2015","74.0","79.1","69.0"
"Sep-Nov 2015","74.0","79.1","69.1"
"Oct-Dec 2015","74.1","79.2","69.1"
"Nov-Jan 2016","74.1","79.1","69.1"
"Dec-Feb 2016","74.1","79.2","69.2"
"Jan-Mar 2016","74.1","79.2","69.2"
"Feb-Apr 2016","74.2","79.2","69.2"
"Mar-May 2016","74.4","79.2","69.6"
"Apr-Jun 2016","74.4","79.3","69.6"
"May-Jul 2016","74.5","79.3","69.8"
"Jun-Aug 2016","74.5","79.4","69.6"
"Jul-Sep 2016","74.4","79.2","69.7"
"Aug-Oct 2016","74.4","79.1","69.8"
"Sep-Nov 2016","74.4","79.1","69.8"
"Oct-Dec 2016","74.6","79.2","70.0"
"Nov-Jan 2017","74.5","79.3","69.8"
"Dec-Feb 2017","74.6","79.3","70.0"
"Jan-Mar 2017","74.8","79.4","70.2"
"Feb-Apr 2017","74.8","79.4","70.2"
"Mar-May 2017","74.9","79.5","70.4"
"Apr-Jun 2017","75.1","79.8","70.5"
"May-Jul 2017","75.3","79.7","70.9"
"Jun-Aug 2017","75.1","79.6","70.7"
"Jul-Sep 2017","75.0","79.4","70.6"
"Aug-Oct 2017","75.1","79.4","70.8"
"Sep-Nov 2017","75.3","79.9","70.8"
"Oct-Dec 2017","75.2","79.6","70.8"
"Nov-Jan 2018","75.3","79.8","70.9"
"Dec-Feb 2018","75.4","79.8","71.0"
"Jan-Mar 2018","75.6","80.0","71.2"
"Feb-Apr 2018","75.6","80.0","71.3"
"Mar-May 2018","75.6","80.1","71.2"
"Apr-Jun 2018","75.5","80.1","71.0"
"May-Jul 2018","75.5","80.1","71.0"
"Jun-Aug 2018","75.6","80.1","71.0"
"Jul-Sep 2018","75.6","80.1","71.1"
"Aug-Oct 2018","75.7","80.3","71.2"
"Sep-Nov 2018","75.8","80.3","71.3"
"Oct-Dec 2018","75.8","80.3","71.4"
"Nov-Jan 2019","76.1","80.5","71.8"
"Dec-Feb 2019","76.1","80.5","71.8"
"Jan-Mar 2019","76.1","80.3","71.8"
"Feb-Apr 2019","76.1","80.3","72.0"
"Mar-May 2019","76.0","80.2","72.0"
"Apr-Jun 2019","76.1","80.1","72.1"
"May-Jul 2019","76.1","80.2","72.1"
"Jun-Aug 2019","75.9","80.2","71.6"
