"Figure 2: Unemployment rates have been generally  falling for the last six years",""
"UK unemployment rates (aged 16 years and over), seasonally adjusted, January to March 1971 to June to August 2019",""
"",""
"Notes",""
"Unit","% of all economically active"
"",""
"Period","People","Men","Women"
"Jan-Mar 1971","3.8","3.2","4.9"
"Feb-Apr 1971","3.9","3.3","5.0"
"Mar-May 1971","4.0","3.4","5.0"
"Apr-Jun 1971","4.1","3.5","5.0"
"May-Jul 1971","4.1","3.6","5.0"
"Jun-Aug 1971","4.2","3.7","5.0"
"Jul-Sep 1971","4.2","3.7","5.1"
"Aug-Oct 1971","4.3","3.8","5.1"
"Sep-Nov 1971","4.4","3.9","5.1"
"Oct-Dec 1971","4.4","4.0","5.2"
"Nov-Jan 1972","4.5","4.1","5.2"
"Dec-Feb 1972","4.5","4.1","5.2"
"Jan-Mar 1972","4.5","4.1","5.2"
"Feb-Apr 1972","4.5","4.1","5.2"
"Mar-May 1972","4.5","4.1","5.2"
"Apr-Jun 1972","4.4","4.0","5.2"
"May-Jul 1972","4.4","3.9","5.2"
"Jun-Aug 1972","4.3","3.8","5.1"
"Jul-Sep 1972","4.3","3.8","5.1"
"Aug-Oct 1972","4.2","3.7","5.1"
"Sep-Nov 1972","4.2","3.7","5.1"
"Oct-Dec 1972","4.2","3.6","5.1"
"Nov-Jan 1973","4.1","3.5","5.0"
"Dec-Feb 1973","4.0","3.3","5.0"
"Jan-Mar 1973","3.9","3.2","4.9"
"Feb-Apr 1973","3.8","3.1","4.9"
"Mar-May 1973","3.8","3.1","4.9"
"Apr-Jun 1973","3.7","3.0","4.9"
"May-Jul 1973","3.7","3.0","4.8"
"Jun-Aug 1973","3.6","2.9","4.8"
"Jul-Sep 1973","3.6","2.9","4.8"
"Aug-Oct 1973","3.5","2.8","4.7"
"Sep-Nov 1973","3.5","2.7","4.7"
"Oct-Dec 1973","3.4","2.7","4.7"
"Nov-Jan 1974","3.4","2.7","4.7"
"Dec-Feb 1974","3.5","2.8","4.7"
"Jan-Mar 1974","3.6","2.9","4.7"
"Feb-Apr 1974","3.6","2.9","4.7"
"Mar-May 1974","3.6","2.9","4.7"
"Apr-Jun 1974","3.6","2.9","4.7"
"May-Jul 1974","3.6","2.9","4.7"
"Jun-Aug 1974","3.7","3.0","4.7"
"Jul-Sep 1974","3.7","3.0","4.7"
"Aug-Oct 1974","3.7","3.1","4.7"
"Sep-Nov 1974","3.7","3.1","4.7"
"Oct-Dec 1974","3.7","3.1","4.7"
"Nov-Jan 1975","3.8","3.2","4.7"
"Dec-Feb 1975","3.9","3.3","4.8"
"Jan-Mar 1975","4.0","3.4","4.8"
"Feb-Apr 1975","4.1","3.5","4.9"
"Mar-May 1975","4.2","3.7","5.0"
"Apr-Jun 1975","4.3","3.9","5.0"
"May-Jul 1975","4.5","4.0","5.1"
"Jun-Aug 1975","4.6","4.2","5.2"
"Jul-Sep 1975","4.7","4.3","5.2"
"Aug-Oct 1975","4.8","4.5","5.3"
"Sep-Nov 1975","4.9","4.6","5.4"
"Oct-Dec 1975","5.0","4.8","5.5"
"Nov-Jan 1976","5.1","4.9","5.5"
"Dec-Feb 1976","5.2","4.9","5.6"
"Jan-Mar 1976","5.3","5.0","5.7"
"Feb-Apr 1976","5.3","5.1","5.7"
"Mar-May 1976","5.4","5.1","5.8"
"Apr-Jun 1976","5.4","5.1","5.8"
"May-Jul 1976","5.4","5.2","5.8"
"Jun-Aug 1976","5.4","5.2","5.9"
"Jul-Sep 1976","5.5","5.2","5.9"
"Aug-Oct 1976","5.5","5.2","6.0"
"Sep-Nov 1976","5.5","5.1","6.0"
"Oct-Dec 1976","5.5","5.1","6.0"
"Nov-Jan 1977","5.5","5.1","6.0"
"Dec-Feb 1977","5.5","5.1","6.0"
"Jan-Mar 1977","5.5","5.1","6.0"
"Feb-Apr 1977","5.5","5.1","6.0"
"Mar-May 1977","5.5","5.1","6.1"
"Apr-Jun 1977","5.5","5.2","6.1"
"May-Jul 1977","5.6","5.2","6.1"
"Jun-Aug 1977","5.6","5.3","6.2"
"Jul-Sep 1977","5.7","5.3","6.2"
"Aug-Oct 1977","5.7","5.3","6.3"
"Sep-Nov 1977","5.7","5.3","6.3"
"Oct-Dec 1977","5.7","5.3","6.3"
"Nov-Jan 1978","5.7","5.3","6.3"
"Dec-Feb 1978","5.6","5.2","6.2"
"Jan-Mar 1978","5.6","5.2","6.2"
"Feb-Apr 1978","5.6","5.2","6.2"
"Mar-May 1978","5.6","5.1","6.2"
"Apr-Jun 1978","5.6","5.1","6.2"
"May-Jul 1978","5.5","5.1","6.2"
"Jun-Aug 1978","5.5","5.1","6.2"
"Jul-Sep 1978","5.5","5.0","6.2"
"Aug-Oct 1978","5.5","5.0","6.2"
"Sep-Nov 1978","5.4","4.9","6.2"
"Oct-Dec 1978","5.4","4.9","6.1"
"Nov-Jan 1979","5.3","4.8","6.1"
"Dec-Feb 1979","5.3","4.8","6.1"
"Jan-Mar 1979","5.4","4.8","6.1"
"Feb-Apr 1979","5.3","4.8","6.1"
"Mar-May 1979","5.3","4.7","6.1"
"Apr-Jun 1979","5.3","4.7","6.1"
"May-Jul 1979","5.3","4.8","6.2"
"Jun-Aug 1979","5.3","4.8","6.2"
"Jul-Sep 1979","5.4","4.8","6.2"
"Aug-Oct 1979","5.4","4.9","6.2"
"Sep-Nov 1979","5.4","4.9","6.2"
"Oct-Dec 1979","5.5","5.0","6.3"
"Nov-Jan 1980","5.6","5.1","6.3"
"Dec-Feb 1980","5.7","5.2","6.4"
"Jan-Mar 1980","5.8","5.3","6.5"
"Feb-Apr 1980","6.0","5.5","6.6"
"Mar-May 1980","6.1","5.7","6.7"
"Apr-Jun 1980","6.3","6.0","6.8"
"May-Jul 1980","6.5","6.2","7.0"
"Jun-Aug 1980","6.8","6.6","7.1"
"Jul-Sep 1980","7.1","6.9","7.3"
"Aug-Oct 1980","7.4","7.3","7.5"
"Sep-Nov 1980","7.7","7.7","7.6"
"Oct-Dec 1980","8.0","8.2","7.8"
"Nov-Jan 1981","8.3","8.6","8.0"
"Dec-Feb 1981","8.6","8.9","8.2"
"Jan-Mar 1981","8.9","9.2","8.3"
"Feb-Apr 1981","9.1","9.6","8.5"
"Mar-May 1981","9.4","9.9","8.6"
"Apr-Jun 1981","9.6","10.1","8.7"
"May-Jul 1981","9.7","10.3","8.8"
"Jun-Aug 1981","9.8","10.4","8.9"
"Jul-Sep 1981","9.9","10.6","9.0"
"Aug-Oct 1981","10.0","10.7","9.0"
"Sep-Nov 1981","10.1","10.8","9.1"
"Oct-Dec 1981","10.2","10.9","9.2"
"Nov-Jan 1982","10.3","11.0","9.2"
"Dec-Feb 1982","10.4","11.1","9.3"
"Jan-Mar 1982","10.4","11.2","9.3"
"Feb-Apr 1982","10.5","11.2","9.3"
"Mar-May 1982","10.5","11.3","9.4"
"Apr-Jun 1982","10.6","11.4","9.4"
"May-Jul 1982","10.6","11.4","9.5"
"Jun-Aug 1982","10.7","11.5","9.5"
"Jul-Sep 1982","10.8","11.6","9.6"
"Aug-Oct 1982","10.9","11.7","9.7"
"Sep-Nov 1982","11.0","11.8","9.7"
"Oct-Dec 1982","11.1","11.9","9.8"
"Nov-Jan 1983","11.2","12.0","9.9"
"Dec-Feb 1983","11.2","12.1","9.9"
"Jan-Mar 1983","11.3","12.1","10.0"
"Feb-Apr 1983","11.3","12.1","10.0"
"Mar-May 1983","11.3","12.2","10.1"
"Apr-Jun 1983","11.4","12.2","10.3"
"May-Jul 1983","11.5","12.2","10.4"
"Jun-Aug 1983","11.5","12.2","10.5"
"Jul-Sep 1983","11.5","12.2","10.7"
"Aug-Oct 1983","11.6","12.1","10.8"
"Sep-Nov 1983","11.6","12.1","10.9"
"Oct-Dec 1983","11.7","12.1","11.1"
"Nov-Jan 1984","11.7","12.0","11.3"
"Dec-Feb 1984","11.8","12.0","11.4"
"Jan-Mar 1984","11.8","12.0","11.6"
"Feb-Apr 1984","11.9","12.0","11.7"
"Mar-May 1984","11.9","12.0","11.8"
"Apr-Jun 1984","11.9","11.9","11.8"
"May-Jul 1984","11.8","11.9","11.7"
"Jun-Aug 1984","11.8","11.9","11.6"
"Jul-Sep 1984","11.7","11.9","11.6"
"Aug-Oct 1984","11.7","11.9","11.5"
"Sep-Nov 1984","11.7","11.9","11.5"
"Oct-Dec 1984","11.6","11.8","11.4"
"Nov-Jan 1985","11.6","11.8","11.3"
"Dec-Feb 1985","11.5","11.8","11.2"
"Jan-Mar 1985","11.5","11.7","11.1"
"Feb-Apr 1985","11.4","11.7","11.1"
"Mar-May 1985","11.4","11.7","11.0"
"Apr-Jun 1985","11.4","11.7","11.0"
"May-Jul 1985","11.3","11.6","10.9"
"Jun-Aug 1985","11.3","11.6","10.9"
"Jul-Sep 1985","11.3","11.6","10.9"
"Aug-Oct 1985","11.3","11.6","10.9"
"Sep-Nov 1985","11.3","11.6","10.9"
"Oct-Dec 1985","11.3","11.6","10.8"
"Nov-Jan 1986","11.3","11.6","10.8"
"Dec-Feb 1986","11.3","11.6","10.9"
"Jan-Mar 1986","11.3","11.7","10.9"
"Feb-Apr 1986","11.3","11.7","10.8"
"Mar-May 1986","11.3","11.7","10.8"
"Apr-Jun 1986","11.3","11.7","10.9"
"May-Jul 1986","11.4","11.7","10.9"
"Jun-Aug 1986","11.4","11.7","10.9"
"Jul-Sep 1986","11.4","11.7","10.9"
"Aug-Oct 1986","11.3","11.7","10.9"
"Sep-Nov 1986","11.3","11.6","10.9"
"Oct-Dec 1986","11.3","11.6","10.8"
"Nov-Jan 1987","11.2","11.6","10.8"
"Dec-Feb 1987","11.2","11.5","10.7"
"Jan-Mar 1987","11.1","11.5","10.6"
"Feb-Apr 1987","11.0","11.4","10.5"
"Mar-May 1987","10.9","11.3","10.4"
"Apr-Jun 1987","10.7","11.1","10.2"
"May-Jul 1987","10.6","10.9","10.1"
"Jun-Aug 1987","10.4","10.7","9.9"
"Jul-Sep 1987","10.2","10.6","9.8"
"Aug-Oct 1987","10.0","10.4","9.6"
"Sep-Nov 1987","9.9","10.2","9.4"
"Oct-Dec 1987","9.7","10.0","9.3"
"Nov-Jan 1988","9.5","9.8","9.1"
"Dec-Feb 1988","9.4","9.6","9.0"
"Jan-Mar 1988","9.2","9.4","8.9"
"Feb-Apr 1988","9.0","9.2","8.8"
"Mar-May 1988","8.9","9.1","8.6"
"Apr-Jun 1988","8.7","8.9","8.5"
"May-Jul 1988","8.6","8.8","8.4"
"Jun-Aug 1988","8.5","8.7","8.2"
"Jul-Sep 1988","8.4","8.5","8.1"
"Aug-Oct 1988","8.3","8.4","8.0"
"Sep-Nov 1988","8.2","8.3","7.9"
"Oct-Dec 1988","8.0","8.2","7.8"
"Nov-Jan 1989","7.9","8.0","7.7"
"Dec-Feb 1989","7.7","7.8","7.5"
"Jan-Mar 1989","7.6","7.7","7.4"
"Feb-Apr 1989","7.4","7.5","7.3"
"Mar-May 1989","7.3","7.4","7.2"
"Apr-Jun 1989","7.2","7.3","7.1"
"May-Jul 1989","7.2","7.3","7.0"
"Jun-Aug 1989","7.1","7.3","7.0"
"Jul-Sep 1989","7.1","7.2","6.9"
"Aug-Oct 1989","7.1","7.2","6.9"
"Sep-Nov 1989","7.0","7.1","6.9"
"Oct-Dec 1989","7.0","7.1","6.8"
"Nov-Jan 1990","7.0","7.1","6.8"
"Dec-Feb 1990","6.9","7.1","6.7"
"Jan-Mar 1990","6.9","7.1","6.7"
"Feb-Apr 1990","6.9","7.1","6.7"
"Mar-May 1990","6.9","7.1","6.7"
"Apr-Jun 1990","6.9","7.1","6.7"
"May-Jul 1990","6.9","7.1","6.7"
"Jun-Aug 1990","7.0","7.2","6.7"
"Jul-Sep 1990","7.1","7.4","6.7"
"Aug-Oct 1990","7.2","7.5","6.8"
"Sep-Nov 1990","7.3","7.7","6.8"
"Oct-Dec 1990","7.5","7.9","6.9"
"Nov-Jan 1991","7.6","8.1","7.0"
"Dec-Feb 1991","7.8","8.3","7.1"
"Jan-Mar 1991","8.0","8.6","7.2"
"Feb-Apr 1991","8.2","9.0","7.3"
"Mar-May 1991","8.5","9.3","7.4"
"Apr-Jun 1991","8.7","9.6","7.5"
"May-Jul 1991","8.8","9.8","7.5"
"Jun-Aug 1991","9.0","10.1","7.6"
"Jul-Sep 1991","9.2","10.3","7.6"
"Aug-Oct 1991","9.3","10.5","7.6"
"Sep-Nov 1991","9.4","10.7","7.6"
"Oct-Dec 1991","9.5","10.9","7.6"
"Nov-Jan 1992","9.5","11.0","7.6"
"Dec-Feb 1992","9.6","11.2","7.6"
"Jan-Mar 1992","9.7","11.3","7.6"
"Feb-Apr 1992","9.8","11.5","7.6"
"Mar-May 1992","9.8","11.6","7.6"
"Apr-Jun 1992","9.8","11.5","7.6"
"May-Jul 1992","9.9","11.6","7.7"
"Jun-Aug 1992","9.9","11.7","7.7"
"Jul-Sep 1992","9.9","11.8","7.6"
"Aug-Oct 1992","10.1","12.0","7.6"
"Sep-Nov 1992","10.2","12.2","7.7"
"Oct-Dec 1992","10.4","12.4","7.8"
"Nov-Jan 1993","10.5","12.5","8.0"
"Dec-Feb 1993","10.7","12.7","8.1"
"Jan-Mar 1993","10.6","12.7","8.0"
"Feb-Apr 1993","10.6","12.6","8.0"
"Mar-May 1993","10.5","12.5","7.9"
"Apr-Jun 1993","10.4","12.3","8.0"
"May-Jul 1993","10.4","12.3","8.0"
"Jun-Aug 1993","10.3","12.2","8.0"
"Jul-Sep 1993","10.2","12.2","7.8"
"Aug-Oct 1993","10.3","12.1","8.0"
"Sep-Nov 1993","10.2","12.0","7.9"
"Oct-Dec 1993","10.3","12.1","7.9"
"Nov-Jan 1993","10.3","12.1","7.9"
"Dec-Feb 1994","10.1","11.8","7.9"
"Jan-Mar 1994","9.9","11.7","7.8"
"Feb-Apr 1994","9.8","11.5","7.7"
"Mar-May 1994","9.7","11.5","7.6"
"Apr-Jun 1994","9.7","11.5","7.4"
"May-Jul 1994","9.6","11.4","7.3"
"Jun-Aug 1994","9.5","11.3","7.3"
